dataset,dataset_label,model,model_label,seed,attack,epsilon_255,conditional_robust_accuracy,source_count,sources
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,0.5,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,1.0,0.0,2,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,2.0,0.6896551724137931,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,4.0,0.6877394636015326,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,8.0,0.7375478927203065,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,FGSM,16.0,0.7432950191570882,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,2.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,4.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,8.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,PGD,16.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,FGSM,0.1,0.6571969696969697,2,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,FGSM,0.15,0.6496212121212122,1,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,FGSM,0.2,0.6553030303030303,1,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,FGSM,0.25,0.6628787878787878,1,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,FGSM,0.5,0.6988636363636364,1,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,FGSM,1.0,0.7310606060606061,2,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,PGD,0.1,0.04734848484848485,2,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,PGD,0.15,0.013257575757575758,1,results/chest_xray_pneumonia/resnet50/robustness/seed42/robustness_attacks_fine_max1024.json
