dataset,dataset_label,model,model_label,seed,epsilon_255,fgsm,pgd,attack_set_min,audited_envelope,adjusted_for_nonmonotonicity,max_pgd_rebound
malaria,Malaria,resnet101,ResNet-101,seed43,0.5,0.739656912209889,0.0010090817356205853,0.0010090817356205853,0.0010090817356205853,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,1.0,0.7588294651866802,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,2.0,0.856710393541877,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,4.0,0.9404641775983855,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,8.0,0.9455095862764884,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed43,16.0,0.4399596367305752,0.0,0.0,0.0,False,0.0
malaria,Malaria,resnet101,ResNet-101,seed44,0.1,0.9484638255698712,0.6402378592666006,0.6402378592666006,0.6402378592666006,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,0.15,0.9365708622398414,0.41427155599603566,0.41427155599603566,0.41427155599603566,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,0.2,0.931615460852329,0.2358771060455897,0.2358771060455897,0.2358771060455897,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,0.25,0.9226957383548068,0.14073339940535184,0.14073339940535184,0.14073339940535184,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,0.5,0.9157581764122894,0.019821605550049554,0.019821605550049554,0.019821605550049554,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,1.0,0.9435084241823588,0.0009910802775024777,0.0009910802775024777,0.0009910802775024777,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,2.0,0.977205153617443,0.0,0.0,0.0,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,4.0,0.9841427155599604,0.0,0.0,0.0,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,8.0,0.9573835480673935,0.0,0.0,0.0,False,0.0009910802775024777
malaria,Malaria,resnet101,ResNet-101,seed44,16.0,0.5887016848364718,0.0009910802775024777,0.0009910802775024777,0.0,True,0.0009910802775024777
malaria,Malaria,resnet152,ResNet-152,seed42,0.1,0.9737638748738647,0.941473259334006,0.941473259334006,0.941473259334006,False,0.0
malaria,Malaria,resnet152,ResNet-152,seed42,0.15,0.958627648839556,0.8900100908173562,0.8900100908173562,0.8900100908173562,False,0.0
malaria,Malaria,resnet152,ResNet-152,seed42,0.2,0.9475277497477296,0.8173562058526741,0.8173562058526741,0.8173562058526741,False,0.0
malaria,Malaria,resnet152,ResNet-152,seed42,0.25,0.9303733602421796,0.7467204843592331,0.7467204843592331,0.7467204843592331,False,0.0
